"Label (Grouping)","SEX AND AGE","SEX AND AGE!!Total population","SEX AND AGE!!Total population!!Male","SEX AND AGE!!Total population!!Female","SEX AND AGE!!Under 5 years","SEX AND AGE!!5 to 9 years","SEX AND AGE!!10 to 14 years","SEX AND AGE!!15 to 19 years","SEX AND AGE!!20 to 24 years","SEX AND AGE!!25 to 34 years","SEX AND AGE!!35 to 44 years","SEX AND AGE!!45 to 54 years","SEX AND AGE!!55 to 59 years","SEX AND AGE!!60 to 64 years","SEX AND AGE!!65 to 74 years","SEX AND AGE!!75 to 84 years","SEX AND AGE!!85 years and over","SEX AND AGE!!Median age (years)","SEX AND AGE!!18 years and over","SEX AND AGE!!21 years and over","SEX AND AGE!!62 years and over","SEX AND AGE!!65 years and over","SEX AND AGE!!18 years and over","SEX AND AGE!!18 years and over!!Male","SEX AND AGE!!18 years and over!!Female","SEX AND AGE!!65 years and over","SEX AND AGE!!65 years and over!!Male","SEX AND AGE!!65 years and over!!Female","RACE","RACE!!Total population","RACE!!Total population!!One race","RACE!!Total population!!Two or more races","RACE!!One race","RACE!!One race!!White","RACE!!One race!!Black or African American","RACE!!One race!!American Indian and Alaska Native","RACE!!One race!!American Indian and Alaska Native!!Cherokee tribal grouping","RACE!!One race!!American Indian and Alaska Native!!Chippewa tribal grouping","RACE!!One race!!American Indian and Alaska Native!!Navajo tribal grouping","RACE!!One race!!American Indian and Alaska Native!!Sioux tribal grouping","RACE!!One race!!Asian","RACE!!One race!!Asian!!Asian Indian","RACE!!One race!!Asian!!Chinese","RACE!!One race!!Asian!!Filipino","RACE!!One race!!Asian!!Japanese","RACE!!One race!!Asian!!Korean","RACE!!One race!!Asian!!Vietnamese","RACE!!One race!!Asian!!Other Asian","RACE!!One race!!Native Hawaiian and Other Pacific Islander","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Native Hawaiian","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Guamanian or Chamorro","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Samoan","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Other Pacific Islander","RACE!!One race!!Some other race","RACE!!Two or more races","RACE!!Two or more races!!White and Black or African American","RACE!!Two or more races!!White and American Indian and Alaska Native","RACE!!Two or more races!!White and Asian","RACE!!Two or more races!!Black or African American and American Indian and Alaska Native","RACE!!Race alone or in combination with one or more other races","RACE!!Race alone or in combination with one or more other races!!Total population","RACE!!Race alone or in combination with one or more other races!!Total population!!White","RACE!!Race alone or in combination with one or more other races!!Total population!!Black or African American","RACE!!Race alone or in combination with one or more other races!!Total population!!American Indian and Alaska Native","RACE!!Race alone or in combination with one or more other races!!Total population!!Asian","RACE!!Race alone or in combination with one or more other races!!Total population!!Native Hawaiian and Other Pacific Islander","RACE!!Race alone or in combination with one or more other races!!Total population!!Some other race","HISPANIC OR LATINO AND RACE","HISPANIC OR LATINO AND RACE!!Total population","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Mexican","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Puerto Rican","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Cuban","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Other Hispanic or Latino","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!White alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Black or African American alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!American Indian and Alaska Native alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Asian alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Some other race alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and Three or more races","HISPANIC OR LATINO AND RACE!!Total housing units","CITIZEN, VOTING AGE POPULATION","CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population","CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population!!Male","CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population!!Female"
"    Margin of Error","","*****","±96","±96","±83","±356","±341","±143","±142","±138","±93","±148","±363","±368","±89","±222","±213","±0.3","±79","±246","±281","±69","±79","±65","±92","±69","±53","±39","","*****","±394","±394","±394","±418","±154","±127","±49","±47","±28","±28","±180","±28","±298","±133","±11","±74","±19","±62","±54","±21","±49","±28","±28","±305","±394","±128","±176","±148","±15","","*****","±438","±124","±168","±65","±87","±436","","*****","*****","±347","±253","±28","±249","*****","±52","±128","±124","±179","±54","±38","±267","±26","±268","±143","","±373","±263","±200"
"    Percent","","75,724","49.8%","50.2%","5.9%","6.1%","6.0%","6.4%","5.6%","11.4%","11.2%","13.2%","7.4%","7.2%","11.6%","5.2%","2.8%","(X)","78.0%","74.5%","23.3%","19.6%","59,055","49.4%","50.6%","14,849","47.7%","52.3%","","75,724","95.9%","4.1%","95.9%","91.9%","0.8%","0.7%","0.1%","0.1%","0.0%","0.0%","1.2%","0.0%","0.6%","0.3%","0.0%","0.1%","0.0%","0.1%","0.1%","0.0%","0.0%","0.0%","0.0%","1.3%","4.1%","0.4%","2.1%","0.4%","0.0%","","75,724","95.8%","1.4%","3.1%","1.8%","0.4%","2.0%","","75,724","9.6%","8.2%","0.5%","0.0%","0.9%","90.4%","84.5%","0.7%","0.6%","1.1%","0.1%","0.1%","3.3%","0.0%","3.3%","(X)","","56,902","49.1%","50.9%"
"    Percent Margin of Error","","(X)","±0.1","±0.1","±0.1","±0.5","±0.4","±0.2","±0.2","±0.2","±0.1","±0.2","±0.5","±0.5","±0.1","±0.3","±0.3","(X)","±0.1","±0.3","±0.4","±0.1","(X)","±0.1","±0.1","(X)","±0.2","±0.2","","(X)","±0.5","±0.5","±0.5","±0.6","±0.2","±0.2","±0.1","±0.1","±0.1","±0.1","±0.2","±0.1","±0.4","±0.2","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.4","±0.5","±0.2","±0.2","±0.2","±0.1","","(X)","±0.6","±0.2","±0.2","±0.1","±0.1","±0.6","","(X)","*****","±0.5","±0.3","±0.1","±0.3","*****","±0.1","±0.2","±0.2","±0.2","±0.1","±0.1","±0.4","±0.1","±0.4","(X)","","(X)","±0.2","±0.2"
"Lincoln County, Washington","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","10,326","5,249","5,077","508","550","748","627","412","871","1,068","1,300","988","783","1,446","818","207","48.7","8,085","7,836","2,939","2,471","8,085","4,093","3,992","2,471","1,225","1,246","","10,326","10,022","304","10,022","9,739","35","124","7","3","0","6","59","0","6","29","11","13","0","0","13","3","8","0","2","52","304","51","128","39","5","","10,326","10,007","91","320","137","62","52","","10,326","308","210","0","7","91","10,018","9,506","32","121","59","13","0","287","0","287","5,837","","7,990","4,029","3,961"
"    Margin of Error","","*****","±45","±45","±30","±67","±61","±26","±26","±32","±49","±30","±77","±73","±43","±40","±39","±0.5","±32","±52","±69","±41","±32","±47","±44","±41","±42","±19","","*****","±53","±53","±53","±36","±21","±40","±10","±4","±19","±12","±20","±19","±9","±15","±18","±17","±19","±19","±9","±4","±9","±19","±5","±32","±53","±21","±45","±20","±9","","*****","±73","±10","±13","±38","±34","±32","","*****","*****","±39","±19","±11","±37","*****","±19","±21","±39","±20","±9","±19","±53","±19","±53","±30","","±46","±56","±45"
"    Percent","","10,326","50.8%","49.2%","4.9%","5.3%","7.2%","6.1%","4.0%","8.4%","10.3%","12.6%","9.6%","7.6%","14.0%","7.9%","2.0%","(X)","78.3%","75.9%","28.5%","23.9%","8,085","50.6%","49.4%","2,471","49.6%","50.4%","","10,326","97.1%","2.9%","97.1%","94.3%","0.3%","1.2%","0.1%","0.0%","0.0%","0.1%","0.6%","0.0%","0.1%","0.3%","0.1%","0.1%","0.0%","0.0%","0.1%","0.0%","0.1%","0.0%","0.0%","0.5%","2.9%","0.5%","1.2%","0.4%","0.0%","","10,326","96.9%","0.9%","3.1%","1.3%","0.6%","0.5%","","10,326","3.0%","2.0%","0.0%","0.1%","0.9%","97.0%","92.1%","0.3%","1.2%","0.6%","0.1%","0.0%","2.8%","0.0%","2.8%","(X)","","7,990","50.4%","49.6%"
"    Percent Margin of Error","","(X)","±0.4","±0.4","±0.3","±0.7","±0.6","±0.3","±0.2","±0.3","±0.5","±0.3","±0.7","±0.7","±0.4","±0.4","±0.4","(X)","±0.3","±0.5","±0.7","±0.4","(X)","±0.5","±0.5","(X)","±1.0","±1.0","","(X)","±0.5","±0.5","±0.5","±0.4","±0.2","±0.4","±0.1","±0.1","±0.3","±0.1","±0.2","±0.3","±0.1","±0.1","±0.2","±0.2","±0.3","±0.3","±0.1","±0.1","±0.1","±0.3","±0.1","±0.3","±0.5","±0.2","±0.4","±0.2","±0.1","","(X)","±0.7","±0.1","±0.1","±0.4","±0.3","±0.3","","(X)","*****","±0.4","±0.3","±0.1","±0.4","*****","±0.3","±0.2","±0.4","±0.2","±0.1","±0.3","±0.5","±0.3","±0.5","(X)","","(X)","±0.6","±0.6"
"Mason County, Washington","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","61,060","31,442","29,618","3,248","3,378","3,183","3,234","3,329","6,922","6,641","8,171","5,226","4,843","7,952","3,668","1,265","45.9","49,174","47,426","15,713","12,885","49,174","25,254","23,920","12,885","6,275","6,610","","61,060","58,038","3,022","58,038","51,497","1,118","2,050","69","9","0","29","907","3","128","245","59","292","88","92","136","102","30","4","0","2,330","3,022","525","1,548","193","15","","61,060","54,323","1,711","3,732","1,290","519","2,616","","61,060","5,465","2,707","236","36","2,486","55,595","49,879","578","1,639","900","127","24","2,448","33","2,415","32,617","","47,007","23,950","23,057"
"    Margin of Error","","*****","±221","±221","±121","±381","±342","±149","±150","±160","±112","±150","±380","±371","±90","±227","±225","±0.3","±107","±221","±328","±99","±107","±193","±206","±99","±74","±55","","*****","±363","±363","±363","±459","±431","±320","±49","±10","±28","±22","±143","±5","±90","±109","±44","±173","±101","±101","±96","±79","±41","±8","±28","±539","±363","±214","±321","±103","±17","","*****","±673","±411","±316","±47","±128","±543","","*****","*****","±537","±126","±41","±570","*****","±32","±143","±200","±143","±94","±23","±269","±24","±269","±91","","±308","±266","±268"
"    Percent","","61,060","51.5%","48.5%","5.3%","5.5%","5.2%","5.3%","5.5%","11.3%","10.9%","13.4%","8.6%","7.9%","13.0%","6.0%","2.1%","(X)","80.5%","77.7%","25.7%","21.1%","49,174","51.4%","48.6%","12,885","48.7%","51.3%","","61,060","95.1%","4.9%","95.1%","84.3%","1.8%","3.4%","0.1%","0.0%","0.0%","0.0%","1.5%","0.0%","0.2%","0.4%","0.1%","0.5%","0.1%","0.2%","0.2%","0.2%","0.0%","0.0%","0.0%","3.8%","4.9%","0.9%","2.5%","0.3%","0.0%","","61,060","89.0%","2.8%","6.1%","2.1%","0.8%","4.3%","","61,060","9.0%","4.4%","0.4%","0.1%","4.1%","91.0%","81.7%","0.9%","2.7%","1.5%","0.2%","0.0%","4.0%","0.1%","4.0%","(X)","","47,007","50.9%","49.1%"
"    Percent Margin of Error","","(X)","±0.4","±0.4","±0.2","±0.6","±0.6","±0.2","±0.2","±0.3","±0.2","±0.2","±0.6","±0.6","±0.1","±0.4","±0.4","(X)","±0.2","±0.4","±0.5","±0.2","(X)","±0.4","±0.4","(X)","±0.3","±0.3","","(X)","±0.6","±0.6","±0.6","±0.8","±0.7","±0.5","±0.1","±0.1","±0.1","±0.1","±0.2","±0.1","±0.1","±0.2","±0.1","±0.3","±0.2","±0.2","±0.2","±0.1","±0.1","±0.1","±0.1","±0.9","±0.6","±0.4","±0.5","±0.2","±0.1","","(X)","±1.1","±0.7","±0.5","±0.1","±0.2","±0.9","","(X)","*****","±0.9","±0.2","±0.1","±0.9","*****","±0.1","±0.2","±0.3","±0.2","±0.2","±0.1","±0.4","±0.1","±0.4","(X)","","(X)","±0.5","±0.5"
"Okanogan County, Washington","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","41,299","20,785","20,514","2,687","2,556","2,772","2,367","2,260","4,340","4,496","5,075","3,485","3,056","5,006","2,488","711","43.0","31,743","30,494","10,066","8,205","31,743","15,850","15,893","8,205","4,079","4,126","","41,299","39,385","1,914","39,385","30,875","251","4,058","45","27","14","12","360","68","23","145","17","44","45","18","81","17","18","20","26","3,760","1,914","128","1,162","209","123","","41,299","32,553","557","5,518","613","166","3,935","","41,299","7,869","7,587","2","47","233","33,430","27,387","246","3,873","358","67","22","1,477","0","1,477","22,452","","28,864","14,364","14,500"
"    Margin of Error","","*****","±78","±78","±59","±260","±244","±34","±167","±75","±55","±49","±290","±284","±57","±160","±151","±0.3","±98","±149","±269","±78","±98","±106","±46","±78","±36","±66","","*****","±374","±374","±374","±564","±64","±312","±35","±23","±13","±12","±94","±157","±31","±109","±19","±43","±50","±23","±23","±20","±18","±25","±19","±556","±374","±63","±302","±194","±118","","*****","±625","±132","±148","±156","±93","±562","","*****","*****","±114","±4","±53","±106","*****","±35","±63","±295","±94","±25","±35","±299","±25","±299","±125","","±261","±198","±154"
"    Percent","","41,299","50.3%","49.7%","6.5%","6.2%","6.7%","5.7%","5.5%","10.5%","10.9%","12.3%","8.4%","7.4%","12.1%","6.0%","1.7%","(X)","76.9%","73.8%","24.4%","19.9%","31,743","49.9%","50.1%","8,205","49.7%","50.3%","","41,299","95.4%","4.6%","95.4%","74.8%","0.6%","9.8%","0.1%","0.1%","0.0%","0.0%","0.9%","0.2%","0.1%","0.4%","0.0%","0.1%","0.1%","0.0%","0.2%","0.0%","0.0%","0.0%","0.1%","9.1%","4.6%","0.3%","2.8%","0.5%","0.3%","","41,299","78.8%","1.3%","13.4%","1.5%","0.4%","9.5%","","41,299","19.1%","18.4%","0.0%","0.1%","0.6%","80.9%","66.3%","0.6%","9.4%","0.9%","0.2%","0.1%","3.6%","0.0%","3.6%","(X)","","28,864","49.8%","50.2%"
"    Percent Margin of Error","","(X)","±0.2","±0.2","±0.1","±0.6","±0.6","±0.1","±0.4","±0.2","±0.1","±0.1","±0.7","±0.7","±0.1","±0.4","±0.4","(X)","±0.2","±0.4","±0.7","±0.2","(X)","±0.2","±0.2","(X)","±0.4","±0.4","","(X)","±0.9","±0.9","±0.9","±1.4","±0.2","±0.8","±0.1","±0.1","±0.1","±0.1","±0.2","±0.4","±0.1","±0.3","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±1.3","±0.9","±0.2","±0.7","±0.5","±0.3","","(X)","±1.5","±0.3","±0.4","±0.4","±0.2","±1.4","","(X)","*****","±0.3","±0.1","±0.1","±0.3","*****","±0.1","±0.2","±0.7","±0.2","±0.1","±0.1","±0.7","±0.1","±0.7","(X)","","(X)","±0.4","±0.4"
"Pacific County, Washington","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","20,743","10,368","10,375","924","1,075","950","956","1,037","1,761","1,952","2,489","1,668","2,173","3,521","1,631","606","52.2","17,140","16,600","6,995","5,758","17,140","8,552","8,588","5,758","2,838","2,920","","20,743","19,799","944","19,799","18,523","62","377","38","29","0","0","367","0","24","50","22","7","16","248","48","0","4","9","35","422","944","138","459","146","0","","20,743","19,408","229","924","671","101","483","","20,743","1,855","1,769","0","3","83","18,888","17,167","59","368","367","48","11","868","0","868","15,725","","16,472","8,153","8,319"
"    Margin of Error","","*****","±78","±78","±45","±142","±140","±114","±108","±131","±97","±95","±184","±185","±52","±137","±132","±0.5","±31","±135","±169","±43","±31","±52","±47","±43","±43","±33","","*****","±146","±146","±146","±220","±32","±98","±31","±25","±22","±22","±73","±22","±19","±42","±26","±9","±12","±80","±50","±22","±10","±15","±45","±212","±146","±32","±95","±67","±22","","*****","±263","±33","±56","±62","±68","±220","","*****","*****","±49","±22","±8","±47","*****","±8","±31","±98","±73","±50","±14","±130","±22","±130","±33","","±167","±108","±100"
"    Percent","","20,743","50.0%","50.0%","4.5%","5.2%","4.6%","4.6%","5.0%","8.5%","9.4%","12.0%","8.0%","10.5%","17.0%","7.9%","2.9%","(X)","82.6%","80.0%","33.7%","27.8%","17,140","49.9%","50.1%","5,758","49.3%","50.7%","","20,743","95.4%","4.6%","95.4%","89.3%","0.3%","1.8%","0.2%","0.1%","0.0%","0.0%","1.8%","0.0%","0.1%","0.2%","0.1%","0.0%","0.1%","1.2%","0.2%","0.0%","0.0%","0.0%","0.2%","2.0%","4.6%","0.7%","2.2%","0.7%","0.0%","","20,743","93.6%","1.1%","4.5%","3.2%","0.5%","2.3%","","20,743","8.9%","8.5%","0.0%","0.0%","0.4%","91.1%","82.8%","0.3%","1.8%","1.8%","0.2%","0.1%","4.2%","0.0%","4.2%","(X)","","16,472","49.5%","50.5%"
"    Percent Margin of Error","","(X)","±0.4","±0.4","±0.2","±0.7","±0.7","±0.6","±0.5","±0.6","±0.5","±0.5","±0.9","±0.9","±0.3","±0.7","±0.6","(X)","±0.2","±0.7","±0.8","±0.2","(X)","±0.3","±0.3","(X)","±0.6","±0.6","","(X)","±0.7","±0.7","±0.7","±1.1","±0.2","±0.5","±0.2","±0.1","±0.2","±0.2","±0.4","±0.2","±0.1","±0.2","±0.1","±0.1","±0.1","±0.4","±0.2","±0.2","±0.1","±0.1","±0.2","±1.0","±0.7","±0.2","±0.5","±0.3","±0.2","","(X)","±1.3","±0.2","±0.3","±0.3","±0.3","±1.1","","(X)","*****","±0.2","±0.2","±0.1","±0.2","*****","±0.1","±0.1","±0.5","±0.4","±0.2","±0.1","±0.6","±0.2","±0.6","(X)","","(X)","±0.4","±0.4"
"Pend Oreille County, Washington","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","13,001","6,677","6,324","633","624","894","784","492","1,018","1,282","1,806","1,146","1,231","2,035","713","343","49.8","10,366","9,962","3,865","3,091","10,366","5,305","5,061","3,091","1,569","1,522","","13,001","12,622","379","12,622","11,962","30","475","2","6","0","36","79","0","17","17","14","0","0","31","42","5","37","0","0","34","379","97","175","45","11","","13,001","12,308","138","678","163","45","68","","13,001","455","373","13","9","60","12,546","11,566","30","455","79","42","11","363","22","341","8,018","","10,220","5,241","4,979"
"    Margin of Error","","*****","±61","±61","±56","±138","±147","±42","±7","±30","±59","±59","±134","±135","±51","±98","±89","±0.4","±30","±66","±122","±44","±30","±43","±54","±44","±35","±36","","*****","±102","±102","±102","±50","±25","±82","±4","±11","±19","±42","±33","±19","±25","±14","±21","±19","±19","±33","±43","±8","±43","±19","±19","±32","±102","±25","±79","±47","±16","","*****","±114","±16","±47","±17","±44","±56","","*****","*****","±41","±19","±15","±32","*****","±18","±25","±78","±33","±43","±18","±97","±24","±104","±44","","±80","±60","±66"
"    Percent","","13,001","51.4%","48.6%","4.9%","4.8%","6.9%","6.0%","3.8%","7.8%","9.9%","13.9%","8.8%","9.5%","15.7%","5.5%","2.6%","(X)","79.7%","76.6%","29.7%","23.8%","10,366","51.2%","48.8%","3,091","50.8%","49.2%","","13,001","97.1%","2.9%","97.1%","92.0%","0.2%","3.7%","0.0%","0.0%","0.0%","0.3%","0.6%","0.0%","0.1%","0.1%","0.1%","0.0%","0.0%","0.2%","0.3%","0.0%","0.3%","0.0%","0.0%","0.3%","2.9%","0.7%","1.3%","0.3%","0.1%","","13,001","94.7%","1.1%","5.2%","1.3%","0.3%","0.5%","","13,001","3.5%","2.9%","0.1%","0.1%","0.5%","96.5%","89.0%","0.2%","3.5%","0.6%","0.3%","0.1%","2.8%","0.2%","2.6%","(X)","","10,220","51.3%","48.7%"
"    Percent Margin of Error","","(X)","±0.5","±0.5","±0.4","±1.1","±1.1","±0.3","±0.1","±0.2","±0.5","±0.5","±1.0","±1.0","±0.4","±0.8","±0.7","(X)","±0.2","±0.5","±0.9","±0.3","(X)","±0.5","±0.5","(X)","±0.9","±0.9","","(X)","±0.8","±0.8","±0.8","±0.4","±0.2","±0.6","±0.1","±0.1","±0.2","±0.3","±0.3","±0.2","±0.2","±0.1","±0.2","±0.2","±0.2","±0.3","±0.3","±0.1","±0.3","±0.2","±0.2","±0.2","±0.8","±0.2","±0.6","±0.4","±0.1","","(X)","±0.9","±0.1","±0.4","±0.1","±0.3","±0.4","","(X)","*****","±0.3","±0.1","±0.1","±0.2","*****","±0.1","±0.2","±0.6","±0.3","±0.3","±0.1","±0.7","±0.2","±0.8","(X)","","(X)","±0.5","±0.5"
"Pierce County, Washington","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","832,896","413,477","419,419","57,077","54,968","55,106","52,594","61,052","123,961","107,044","113,185","55,374","47,063","62,680","30,156","12,636","36.0","632,848","600,445","132,019","105,472","632,848","311,337","321,511","105,472","46,976","58,496","","832,896","770,390","62,506","770,390","619,585","55,676","10,151","615","261","151","401","49,787","2,843","4,168","11,852","2,885","10,564","7,137","10,338","11,457","1,168","4,030","4,500","1,759","23,734","62,506","16,028","10,246","16,174","1,652","","832,896","672,926","81,036","26,143","75,983","18,938","27,833","","832,896","84,021","60,313","7,655","1,100","14,953","748,875","571,006","53,881","8,466","49,113","11,090","1,093","54,226","504","53,722","333,541","","599,794","295,570","304,224"
"    Margin of Error","","*****","*****","*****","*****","±1,200","±1,202","*****","*****","*****","*****","*****","±891","±891","±90","±592","±595","±0.1","*****","±915","±691","*****","*****","*****","*****","*****","*****","*****","","*****","±2,422","±2,422","±2,422","±2,234","±1,382","±870","±239","±111","±88","±171","±1,253","±578","±568","±908","±372","±779","±987","±1,221","±517","±392","±688","±768","±535","±2,046","±2,422","±1,208","±738","±1,214","±388","","*****","±3,187","±812","±1,069","±888","±850","±2,120","","*****","*****","±1,492","±930","±299","±1,390","*****","±231","±1,315","±683","±1,223","±522","±282","±2,196","±301","±2,246","±445","","±1,552","±921","±943"
"    Percent","","832,896","49.6%","50.4%","6.9%","6.6%","6.6%","6.3%","7.3%","14.9%","12.9%","13.6%","6.6%","5.7%","7.5%","3.6%","1.5%","(X)","76.0%","72.1%","15.9%","12.7%","632,848","49.2%","50.8%","105,472","44.5%","55.5%","","832,896","92.5%","7.5%","92.5%","74.4%","6.7%","1.2%","0.1%","0.0%","0.0%","0.0%","6.0%","0.3%","0.5%","1.4%","0.3%","1.3%","0.9%","1.2%","1.4%","0.1%","0.5%","0.5%","0.2%","2.8%","7.5%","1.9%","1.2%","1.9%","0.2%","","832,896","80.8%","9.7%","3.1%","9.1%","2.3%","3.3%","","832,896","10.1%","7.2%","0.9%","0.1%","1.8%","89.9%","68.6%","6.5%","1.0%","5.9%","1.3%","0.1%","6.5%","0.1%","6.5%","(X)","","599,794","49.3%","50.7%"
"    Percent Margin of Error","","(X)","*****","*****","*****","±0.1","±0.1","*****","*****","*****","*****","*****","±0.1","±0.1","±0.1","±0.1","±0.1","(X)","*****","±0.1","±0.1","*****","(X)","*****","*****","(X)","*****","*****","","(X)","±0.3","±0.3","±0.3","±0.3","±0.2","±0.1","±0.1","±0.1","±0.1","±0.1","±0.2","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.2","±0.3","±0.1","±0.1","±0.1","±0.1","","(X)","±0.4","±0.1","±0.1","±0.1","±0.1","±0.3","","(X)","*****","±0.2","±0.1","±0.1","±0.2","*****","±0.1","±0.2","±0.1","±0.1","±0.1","±0.1","±0.3","±0.1","±0.3","(X)","","(X)","±0.1","±0.1"
"San Juan County, Washington","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","16,056","7,739","8,317","473","695","641","741","559","1,249","1,524","2,114","1,588","1,733","3,049","1,217","473","55.1","13,778","13,385","5,779","4,739","13,778","6,625","7,153","4,739","2,315","2,424","","16,056","15,722","334","15,722","14,866","110","145","5","0","0","0","230","14","74","34","34","17","12","45","32","0","26","6","0","339","334","41","161","56","0","","16,056","15,176","167","324","308","38","390","","16,056","937","683","31","20","203","15,119","14,308","97","128","230","32","47","277","7","270","13,728","","13,311","6,366","6,945"
"    Margin of Error","","*****","±44","±44","±15","±53","±51","±38","±33","±39","±49","±50","±77","±78","±29","±65","±59","±0.1","*****","±52","±81","±25","*****","±22","±22","±25","±19","±19","","*****","±43","±43","±43","±95","±20","±32","±6","±19","±19","±19","±26","±15","±30","±15","±19","±11","±10","±31","±26","±19","±26","±7","±19","±90","±43","±19","±27","±16","±19","","*****","±101","±21","±17","±27","±27","±92","","*****","*****","±67","±18","±16","±59","*****","±31","±14","±27","±26","±26","±30","±37","±9","±36","±54","","±72","±47","±55"
"    Percent","","16,056","48.2%","51.8%","2.9%","4.3%","4.0%","4.6%","3.5%","7.8%","9.5%","13.2%","9.9%","10.8%","19.0%","7.6%","2.9%","(X)","85.8%","83.4%","36.0%","29.5%","13,778","48.1%","51.9%","4,739","48.8%","51.2%","","16,056","97.9%","2.1%","97.9%","92.6%","0.7%","0.9%","0.0%","0.0%","0.0%","0.0%","1.4%","0.1%","0.5%","0.2%","0.2%","0.1%","0.1%","0.3%","0.2%","0.0%","0.2%","0.0%","0.0%","2.1%","2.1%","0.3%","1.0%","0.3%","0.0%","","16,056","94.5%","1.0%","2.0%","1.9%","0.2%","2.4%","","16,056","5.8%","4.3%","0.2%","0.1%","1.3%","94.2%","89.1%","0.6%","0.8%","1.4%","0.2%","0.3%","1.7%","0.0%","1.7%","(X)","","13,311","47.8%","52.2%"
"    Percent Margin of Error","","(X)","±0.3","±0.3","±0.1","±0.3","±0.3","±0.2","±0.2","±0.2","±0.3","±0.3","±0.5","±0.5","±0.2","±0.4","±0.4","(X)","*****","±0.3","±0.5","±0.2","(X)","±0.2","±0.2","(X)","±0.3","±0.3","","(X)","±0.3","±0.3","±0.3","±0.6","±0.1","±0.2","±0.1","±0.2","±0.2","±0.2","±0.2","±0.1","±0.2","±0.1","±0.1","±0.1","±0.1","±0.2","±0.2","±0.2","±0.2","±0.1","±0.2","±0.6","±0.3","±0.1","±0.2","±0.1","±0.2","","(X)","±0.6","±0.1","±0.1","±0.2","±0.2","±0.6","","(X)","*****","±0.4","±0.1","±0.1","±0.4","*****","±0.2","±0.1","±0.2","±0.2","±0.2","±0.2","±0.2","±0.1","±0.2","(X)","","(X)","±0.3","±0.3"
"Skagit County, Washington","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
